uhf_code,uhf_name,borough,year,overdose_deaths,age_adj_rate_per_100k,rate_pct_change,suppressed,source_report,source_url,note
306,Chelsea-Clinton,Manhattan,2023,51.0,36.3,,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2023 values published in the 2024 report table; 2023 and 2024 data are provisional.
307,Gramercy Park-Murray Hill,Manhattan,2023,18.0,12.7,,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2023 values published in the 2024 report table; 2023 and 2024 data are provisional.
308,Greenwich Village-SoHo,Manhattan,2023,8.0,12.2,,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2023 values published in the 2024 report table; 2023 and 2024 data are provisional.
309,Union Square,Manhattan,2023,58.0,35.8,,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2023 values published in the 2024 report table; 2023 and 2024 data are provisional.
310,Lower Manhattan,Manhattan,2023,13.0,24.8,,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2023 values published in the 2024 report table; 2023 and 2024 data are provisional.
401,Long Island City-Astoria,Queens,2023,44.0,27.8,,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2023 values published in the 2024 report table; 2023 and 2024 data are provisional.
402,West Queens,Queens,2023,80.0,21.1,,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2023 values published in the 2024 report table; 2023 and 2024 data are provisional.
403,Flushing - Clearview,Queens,2023,44.0,23.4,,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2023 values published in the 2024 report table; 2023 and 2024 data are provisional.
404,Bayside-Little Neck,Queens,2023,11.0,16.4,,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2023 values published in the 2024 report table; 2023 and 2024 data are provisional.
405,Ridgewood,Queens,2023,38.0,17.7,,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2023 values published in the 2024 report table; 2023 and 2024 data are provisional.
406,Fresh Meadows,Queens,2023,13.0,18.2,,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2023 values published in the 2024 report table; 2023 and 2024 data are provisional.
407,Southwest Queens,Queens,2023,53.0,24.4,,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2023 values published in the 2024 report table; 2023 and 2024 data are provisional.
408,Jamaica,Queens,2023,77.0,28.8,,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2023 values published in the 2024 report table; 2023 and 2024 data are provisional.
409,Southeast Queens,Queens,2023,36.0,19.5,,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2023 values published in the 2024 report table; 2023 and 2024 data are provisional.
410,Rockaway,Queens,2023,67.0,60.5,,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2023 values published in the 2024 report table; 2023 and 2024 data are provisional.
501,Port Richmond,Staten Island,2023,31.0,52.7,,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2023 values published in the 2024 report table; 2023 and 2024 data are provisional.
502,Stapleton-St. George,Staten Island,2023,57.0,57.4,,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2023 values published in the 2024 report table; 2023 and 2024 data are provisional.
503,Willowbrook,Staten Island,2023,16.0,21.4,,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2023 values published in the 2024 report table; 2023 and 2024 data are provisional.
504,South Beach-Tottenville,Staten Island,2023,52.0,33.8,,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2023 values published in the 2024 report table; 2023 and 2024 data are provisional.
101,Kingsbridge-Riverdale,Bronx,2024,24.0,30.6,-4.4,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2024 values are provisional; counts <=5 are suppressed for some neighborhoods.
102,Northeast Bronx,Bronx,2024,47.0,27.2,-13.4,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2024 values are provisional; counts <=5 are suppressed for some neighborhoods.
103,Fordham-Bronx Park,Bronx,2024,106.0,52.6,-34.1,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2024 values are provisional; counts <=5 are suppressed for some neighborhoods.
104,Pelham-Throgs Neck,Bronx,2024,78.0,32.5,-35.8,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2024 values are provisional; counts <=5 are suppressed for some neighborhoods.
105,Crotona-Tremont,Bronx,2024,144.0,87.3,-23.2,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2024 values are provisional; counts <=5 are suppressed for some neighborhoods.
106,Highbridge-Morrisania,Bronx,2024,148.0,90.4,-14.3,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2024 values are provisional; counts <=5 are suppressed for some neighborhoods.
107,Hunts Point-Mott Haven,Bronx,2024,113.0,107.8,-20.0,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2024 values are provisional; counts <=5 are suppressed for some neighborhoods.
201,Greenpoint,Brooklyn,2024,18.0,18.7,13.3,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2024 values are provisional; counts <=5 are suppressed for some neighborhoods.
202,Downtown-Heights-Slope,Brooklyn,2024,42.0,20.4,-38.2,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2024 values are provisional; counts <=5 are suppressed for some neighborhoods.
203,Bedford Stuyvesant-Crown Heights,Brooklyn,2024,90.0,31.9,-37.5,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2024 values are provisional; counts <=5 are suppressed for some neighborhoods.
204,East New York,Brooklyn,2024,73.0,44.5,-30.6,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2024 values are provisional; counts <=5 are suppressed for some neighborhoods.
205,Sunset Park,Brooklyn,2024,23.0,25.3,6.3,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2024 values are provisional; counts <=5 are suppressed for some neighborhoods.
206,Borough Park,Brooklyn,2024,21.0,9.4,-45.3,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2024 values are provisional; counts <=5 are suppressed for some neighborhoods.
207,East Flatbush-Flatbush,Brooklyn,2024,42.0,17.3,-40.1,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2024 values are provisional; counts <=5 are suppressed for some neighborhoods.
208,Canarsie-Flatlands,Brooklyn,2024,24.0,13.1,-46.5,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2024 values are provisional; counts <=5 are suppressed for some neighborhoods.
209,Bensonhurst-Bay Ridge,Brooklyn,2024,27.0,16.4,-32.5,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2024 values are provisional; counts <=5 are suppressed for some neighborhoods.
210,Coney Island,Brooklyn,2024,45.0,21.9,-34.4,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2024 values are provisional; counts <=5 are suppressed for some neighborhoods.
211,Williamsburg-Bushwick,Brooklyn,2024,65.0,39.5,-7.5,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2024 values are provisional; counts <=5 are suppressed for some neighborhoods.
301,Washington Heights-Inwood,Manhattan,2024,64.0,30.6,-32.9,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2024 values are provisional; counts <=5 are suppressed for some neighborhoods.
302,Central Harlem,Manhattan,2024,76.0,51.5,-14.2,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2024 values are provisional; counts <=5 are suppressed for some neighborhoods.
303,East Harlem,Manhattan,2024,64.0,67.9,-21.2,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2024 values are provisional; counts <=5 are suppressed for some neighborhoods.
